model,loop,scale,dloc,concurrence
BHZ,CB,0.89,0.1600287474801267,0.15951563747412204
BHZ,CB,0.9,0.16182291110399608,0.16129233077982477
BHZ,CB,0.91,0.16361694365131635,0.16306850274841114
BHZ,CB,0.92,0.16541084366892114,0.16484414681747983
BHZ,CB,0.93,0.16720460970375167,0.16661925386399437
BHZ,CB,0.9400000000000001,0.1689982403028575,0.16839382150287363
BHZ,CB,0.9500000000000001,0.1707917340133979,0.17016783806523
BHZ,CB,0.96,0.17258508938264303,0.17194131719925626
BHZ,CB,0.97,0.1743783049579752,0.17371422411046525
BHZ,CB,0.98,0.17617137928689,0.1754865732906416
BHZ,CB,0.99,0.17796431091699705,0.17725836377836676
BHZ,CB,1.0,0.17975709839602216,0.17902957342582415
BHZ,C_plus,0.0,0.0,1.4196960477961724e-20
BHZ,C_plus,0.01,1.5332934166833742e-19,6.280257035595069e-14
BHZ,C_plus,0.02,7.850462293418876e-17,8.583882633821415e-14
BHZ,C_plus,0.03,7.851420543320938e-17,3.519060513937613e-14
BHZ,C_plus,0.04,3.925250312830355e-16,6.32958853700068e-14
BHZ,C_plus,0.05,1.5700924586837752e-16,3.727871771321797e-14
BHZ,C_plus,0.06,7.851420543320939e-17,2.4086359247552984e-14
BHZ,C_plus,0.07,0.0,2.1620410561411123e-14
BHZ,C_plus,0.08,1.5702841086641878e-16,1.298772252068771e-13
BHZ,C_plus,0.09,2.4532694666933983e-18,1.3516822628760215e-13
BHZ,C_plus,0.1,2.4532694666933975e-18,3.640910858426698e-14
BHZ,C_plus,0.11,2.356288377470769e-16,2.6326417376435833e-14
BHZ,C_plus,0.12,2.3552664590111376e-16,1.0901365362636611e-13
BHZ,C_plus,0.13,7.85429459156923e-17,7.450906289181186e-14
BHZ,C_plus,0.14,0.0,1.0551660961780124e-13
BHZ,C_plus,0.15,7.854294591569231e-17,2.3872112349540735e-15
BHZ,C_plus,0.16,7.865780283191234e-17,2.936955772012349e-14
BHZ,C_plus,0.17,1.5702841086641878e-16,1.6040005292445325e-14
BHZ,C_plus,0.18,0.0,2.3627206463506162e-14
BHZ,C_plus,0.19,4.906538933386797e-18,5.566075773933456e-15
BHZ,C_plus,0.2,7.911556306605241e-17,1.4069726977062836e-14
BHZ,C_plus,0.21,7.865780283191232e-17,4.8442725257426986e-14
BHZ,C_plus,0.22,1.5769771845813174e-16,1.0476823165412701e-13
BHZ,C_plus,0.23,7.850462293418875e-17,3.2972107406682046e-14
BHZ,C_plus,0.24,1.5708589183138455e-16,2.2351880945840764e-14
BHZ,C_plus,0.25,7.850462293418875e-17,3.8925970457988323e-14
BHZ,C_plus,0.26,7.865780283191233e-17,5.557860871162969e-15
BHZ,C_plus,0.27,7.911556306605244e-17,7.305026621946429e-14
BHZ,C_plus,0.28,7.911556306605243e-17,1.9717223006921603e-14
BHZ,C_plus,0.29,0.0,1.1786629182412425e-13
BHZ,C_plus,0.3,7.865780283191234e-17,2.5671169788219476e-14
BHZ,C_plus,0.31,7.850462293418875e-17,4.0724443385545535e-14
BHZ,C_plus,0.32,1.573156056638247e-16,8.262957942994542e-14
BHZ,C_plus,0.33,1.471961680016039e-17,8.867704359010713e-14
BHZ,C_plus,0.34,1.5708589183138467e-16,6.837524244604298e-14
BHZ,C_plus,0.35000000000000003,7.911556306605241e-17,6.60633343460408e-14
BHZ,C_plus,0.36,1.5731560566382471e-16,1.2650289813630191e-14
BHZ,C_plus,0.37,9.813077866773595e-18,3.821012007364135e-14
BHZ,C_plus,0.38,0.0,6.518958919483402e-15
BHZ,C_plus,0.39,7.850462293418876e-17,1.3795548051913927e-13
BHZ,C_plus,0.4,7.911556306605241e-17,1.5331349281049393e-14
BHZ,C_plus,0.41000000000000003,7.911556306605238e-17,3.4311063369067627e-14
BHZ,C_plus,0.42,1.5700924586837752e-16,3.4457726986433017e-14
BHZ,C_plus,0.43,7.911556306605241e-17,1.6092251377894883e-14
BHZ,C_plus,0.44,1.5700924586837752e-16,6.657293631907989e-14
BHZ,C_plus,0.45,8.092071311423671e-17,7.123971480447131e-14
BHZ,C_plus,0.46,1.5823112613210482e-16,4.8379878567089235e-14
BHZ,C_plus,0.47000000000000003,9.813077866773595e-18,7.664005516994955e-14
BHZ,C_plus,0.48,7.850462293418876e-17,1.9714180347098032e-14
BHZ,C_plus,0.49,7.91155630660524e-17,1.0413658487472601e-13
BHZ,C_plus,0.5,7.911556306605243e-17,2.534237176114938e-14
BHZ,C_plus,0.51,9.813077866773593e-18,2.6436817722234115e-14
BHZ,C_plus,0.52,9.813077866773593e-18,8.193013841881201e-15
BHZ,C_plus,0.53,7.91155630660524e-17,5.840971710846407e-14
BHZ,C_plus,0.54,2.357182192694739e-16,6.776865629258554e-15
BHZ,C_plus,0.55,9.813077866773595e-18,2.4167768524740427e-14
BHZ,C_plus,0.56,7.911556306605241e-17,1.2867174498888903e-13
BHZ,C_plus,0.5700000000000001,7.850462293418876e-17,1.6254022565765944e-14
BHZ,C_plus,0.58,1.9626155733547183e-17,2.097623312605903e-14
BHZ,C_plus,0.59,7.91155630660524e-17,2.433793128455797e-14
BHZ,C_plus,0.6,3.1646225226420963e-16,2.110254872920313e-14
BHZ,C_plus,0.61,9.813077866773593e-18,1.9274696522199883e-14
BHZ,C_plus,0.62,7.850462293418876e-17,1.6118816712397183e-14
BHZ,C_plus,0.63,3.1646225226420963e-16,3.2993386111220227e-14
BHZ,C_plus,0.64,1.5823112613210482e-16,5.444003459631627e-14
BHZ,C_plus,0.65,2.943923360032078e-17,1.8967579178962456e-14
BHZ,C_plus,0.66,2.357182192694739e-16,2.4924944638017607e-14
BHZ,C_plus,0.67,7.850462293418873e-17,9.535655490058377e-15
BHZ,C_plus,0.68,1.962615573354719e-17,4.9979323976327976e-14
BHZ,C_plus,0.6900000000000001,7.91155630660524e-17,1.0341000434852787e-13
BHZ,C_plus,0.7000000000000001,8.092071311423672e-17,1.3400646961927243e-14
BHZ,C_plus,0.71,1.5823112613210482e-16,4.800816114987664e-14
BHZ,C_plus,0.72,8.092071311423671e-17,3.2806342347905396e-14
BHZ,C_plus,0.73,1.5700924586837752e-16,9.940993759712341e-15
BHZ,C_plus,0.74,1.5823112613210482e-16,4.8913522190887855e-14
BHZ,C_plus,0.75,1.9626155733547187e-17,6.752939421161032e-14
BHZ,C_plus,0.76,0.0,5.99731030028866e-14
BHZ,C_plus,0.77,1.5823112613210482e-16,9.419870258777525e-15
BHZ,C_plus,0.78,2.3633021048361517e-16,3.47046829303854e-14
BHZ,C_plus,0.79,1.5700924586837747e-16,1.2916018822379877e-13
BHZ,C_plus,0.8,7.850462293418876e-17,2.6152793759984964e-14
BHZ,C_plus,0.81,1.570092458683775e-16,9.667988234154154e-14
BHZ,C_plus,0.8200000000000001,1.9626155733547187e-17,2.8014739472028454e-14
BHZ,C_plus,0.8300000000000001,1.9626155733547187e-17,9.614317511591118e-14
BHZ,C_plus,0.84,1.582311261321048e-16,1.4339408727472518e-14
BHZ,C_plus,0.85,1.962615573354719e-17,2.1204389402424175e-14
BHZ,C_plus,0.86,1.6184142622847344e-16,4.3902773972972654e-14
BHZ,C_plus,0.87,8.092071311423672e-17,8.952268094201753e-15
BHZ,C_plus,0.88,7.850462293418876e-17,5.4106391496308225e-14
BHZ,C_plus,0.89,1.9626155733547187e-17,7.412779008021966e-14
BHZ,C_plus,0.9,2.551400245361135e-16,9.800932938039103e-14
BHZ,C_plus,0.91,9.813077866773593e-17,9.203785254879257e-14
BHZ,C_plus,0.92,8.777083671441752e-17,9.051818184170345e-14
BHZ,C_plus,0.93,1.9626155733547187e-17,7.40519805708354e-14
BHZ,C_plus,0.9400000000000001,2.3633021048361517e-16,1.6826886331636678e-14
BHZ,C_plus,0.9500000000000001,8.777083671441753e-17,2.509369898855982e-14
BHZ,C_plus,0.96,0.0,2.5627307273063204e-15
BHZ,C_plus,0.97,8.777083671441752e-17,2.5962640381740144e-14
BHZ,C_plus,0.98,1.962615573354719e-17,2.7024641327172802e-14
BHZ,C_plus,0.99,8.777083671441752e-17,2.4484776477497757e-14
BHZ,C_plus,1.0,8.777083671441752e-17,1.957995641773483e-14
BHZ,C_minus,0.0,0.0,1.4196960477961724e-20
BHZ,C_minus,0.01,0.003599998056000315,0.0035999843130868543
BHZ,C_minus,0.02,0.007199984448010077,0.007199927472407745
BHZ,C_minus,0.03,0.010799947512076526,0.01079978543647779
BHZ,C_minus,0.04,0.014399875584322487,0.014399498964451618
BHZ,C_minus,0.05,0.017999757000984152,0.017999022723504877
BHZ,C_minus,0.06,0.021599580098448864,0.021598320423181116
BHZ,C_minus,0.07,0.02519933321329297,0.025197332176111174
BHZ,C_minus,0.08,0.028799004682319506,0.02879601089311752
BHZ,C_minus,0.09,0.03239858284259606,0.032394320320089764
BHZ,C_minus,0.1,0.03599805603149256,0.0359922225525816
BHZ,C_minus,0.11,0.039597412586718984,0.03958964720912246
BHZ,C_minus,0.12,0.0431966408463633,0.04318655585846636
BHZ,C_minus,0.13,0.04679572914892904,0.046782910236058343
BHZ,C_minus,0.14,0.050394665833373285,0.05037866015795561
BHZ,C_minus,0.15,0.053993439239144306,0.05397375875009171
BHZ,C_minus,0.16,0.05759203770621941,0.05756814907774366
BHZ,C_minus,0.17,0.06119044957514276,0.061161794879668135
BHZ,C_minus,0.18,0.064788663187063,0.06475465840715058
BHZ,C_minus,0.19,0.06838666688377118,0.0683466640427339
BHZ,C_minus,0.2,0.0719844490077385,0.0719378031091465
BHZ,C_minus,0.21,0.075581997902154,0.07552800047134205
BHZ,C_minus,0.22,0.0791793019109624,0.07911722024352245
BHZ,C_minus,0.23,0.08277634937890191,0.08270541325501672
BHZ,C_minus,0.24,0.08637312865154183,0.08629253673416637
BHZ,C_minus,0.25,0.08996962807532047,0.08987854523012397
BHZ,C_minus,0.26,0.09356583599758285,0.09346338043863409
BHZ,C_minus,0.27,0.09716174076661847,0.09704701070663238
BHZ,C_minus,0.28,0.100757330731699,0.10062938654217844
BHZ,C_minus,0.29,0.10435259424311609,0.10421045034307191
BHZ,C_minus,0.3,0.1079475196522191,0.10779016247475617
