model,orientation,center_theta1_over_pi,center_theta2_over_pi,radius_over_pi,n_points,D_loc_strict,D_loc_swap,ep_exact,arg_det,max_abs_phase,eigphase_1,eigphase_2,eigphase_3,eigphase_4,schmidt_1,schmidt_2,schmidt_3,schmidt_4
BBH,+,1.0,1.0,0.22,121,0.025225952425083575,0.025225952425083575,0.00014138059047678433,-1.998401444325282e-15,0.13722630550544448,-0.13722630550544448,-0.08514345764027594,0.0851434576402748,0.13722630550544435,1.9998409128310626,0.023868881071195853,0.008160293952856472,9.739629018391444e-05
BBH,+,1.0,1.0,0.225,121,0.02581559027911942,0.02581559027911942,0.00014806544799049625,8.326672684688674e-16,0.14119465118991767,-0.14119465118991584,-0.09006360740033179,0.09006360740033181,0.14119465118991767,1.9998333888246338,0.024268955980714213,0.008799051974102278,0.0001067807979529701
BBH,+,1.0,1.0,0.23,121,0.02634033330717274,0.02634033330717274,0.00015414426401013276,2.3037127760972e-15,0.14503373788321203,-0.14503373788321203,-0.09517359204700754,0.09517359204701004,0.14503373788321156,1.9998265467103225,0.024576723020159813,0.009473869468184671,0.00011642843037167188
BBH,+,1.0,1.0,0.235,121,0.02679439473442048,0.02679439473442048,0.0001595028007122955,4.163336342344336e-16,0.14873175815909517,-0.14873175815909517,-0.10047570592938664,0.10047570592938762,0.14873175815909478,1.9998205151027024,0.0247823557781108,0.010184610317331904,0.0001262106446257631
BBH,+,1.0,1.0,0.24,121,0.02717215924760845,0.02717215924760845,0.00016403053756884766,-1.4155343563970746e-15,0.152279488896364,-0.1522794888963639,-0.1059711657637527,0.10597116576375247,0.152279488896364,1.9998154184404537,0.02487556579805321,0.010930686496472027,0.00013596605399415879
BBH,+,1.0,1.0,0.245,121,0.02746833008266232,0.02746833008266232,0.00016762446847584656,9.159339953157543e-16,0.15567168937737477,-0.15567168937737386,-0.1116595188183345,0.11165951881833476,0.15567168937737477,1.9998113727106184,0.02484560935187181,0.011711024877795118,0.00014549749701131664
BBH,+,1.0,1.0,0.25,121,0.027678172033012708,0.027678172033012708,0.00017019420850604582,-2.1649348980190553e-15,0.15890902241762794,-0.15890902241762794,-0.11753767915071568,0.11753767915071599,0.15890902241762594,1.9998084796982258,0.024681344188611624,0.012524052228180052,0.00015457002348873782
BBH,+,1.0,1.0,0.255,121,0.027797890964296596,0.027797890964296596,0.0001716688073562326,2.886579864025407e-15,0.16200076470385505,-0.16200076470385424,-0.12359830638365935,0.123598306383661,0.16200076470385505,1.9998068193144811,0.02437136630591037,0.01336769942464923,0.0001629102852323361
BBH,+,1.0,1.0,0.26,121,0.027825194436291396,0.027825194436291396,0.0001720055938461387,-1.27675647831893e-15,0.16496881581477266,-0.16496881581477266,-0.12982698162482106,0.12982698162482145,0.16496881581477216,1.9998064396386497,0.023904264360160837,0.014239422546681969,0.0001702079332012228
BBH,+,1.0,1.0,0.265,121,0.027760077208323845,0.027760077208323845,0.00017120118089798531,0.0,0.1678540124606765,-0.16785401246067538,-0.13619712138728127,0.1361971213872805,0.1678540124606765,1.9998073445283455,0.023269038445303303,0.01513623474103412,0.00017611977927280164
BBH,+,1.0,1.0,0.27,121,0.027605867075138117,0.027605867075138117,0.00016930442931640933,2.692290834716005e-15,0.1707266954304381,-0.17072669543043698,-0.14266061428309046,0.14266061428309182,0.1707266954304381,1.9998094790257557,0.022455744091150608,0.01605473936195919,0.0001802777326259044
