s,gap,joint,deltaA,deltaB,frame_overlap,edge_weight
0.85,0.26100387368089384,0.00016243014745677772,1.8389926199696904,1.5537305304596507,0.9999566318546769,0.6035145590969666
0.8583333333333333,0.2609654475666696,0.00014211540257841722,1.8389927962842356,1.5552079171533086,0.9999567024521426,0.6035146499449384
0.8666666666666667,0.260928835314733,0.00012478151496192236,1.8389929667612346,1.5566188889439536,0.9999567671017923,0.6035147377850575
0.875,0.26089406096809464,0.00011228694640846406,1.8389931309334058,1.5579481888239175,0.9999568255234892,0.6035148223765521
0.8833333333333333,0.26086114703178287,0.00010677002148104959,1.8389932883507498,1.5591814805099355,0.9999568775394337,0.6035149034875545
0.8916666666666666,0.26083011452436944,0.00010962916402518576,1.8389934385817805,1.5603054956458728,0.9999569230565359,0.603514980895736
0.9,0.26080098302293364,0.0001205038285909745,1.8389935812147122,1.5613081686779204,0.9999569620477317,0.6035150543889175
0.9083333333333333,0.2607737707023242,0.00013760309694346945,1.8389937158585807,1.5615341203945117,0.999956994533197,0.6035151237656506
0.9166666666666666,0.26074849436947295,0.0001590087811826249,1.838993842144319,1.5615342711242746,0.9999570205623362,0.6035151888357694
0.9249999999999999,0.2607251694933657,0.00018324049937544642,1.8389939597257743,1.56153441577381,0.9999570401973686,0.6035152494209137
0.9333333333333333,0.2607038102312216,0.0002092941663747325,1.8389940682806467,1.5615345539213834,0.9999570534992087,0.6035153053550142
0.9416666666666667,0.2606844294512941,0.00023651501016617885,1.838994167511385,1.5615346851501213,0.9999570605162279,0.6035153564847522
0.95,0.2606670387526974,0.0002644674679106302,1.838994257145984,1.5615348090495718,0.9999570612763373,0.603515402669977
0.9583333333333334,0.2606516484825471,0.0002928494375354297,1.8389943369387596,1.5615349252174038,0.999957055782717,0.6035154437840924
0.9666666666666667,0.26063826775070636,0.00032144052499342665,1.8389944066709853,1.5615350332611608,0.9999570440133411,0.6035154797143996
0.975,0.2606269044423415,0.0003500709408792052,1.8389944661515245,1.561535132800193,0.9999570259243288,0.6035155103624108
0.9833333333333333,0.2606175652284831,0.00037860145954856186,1.8389945152173324,1.561535223467582,0.9999570014569884,0.6035155356441175
0.9916666666666667,0.26061025557473816,0.00040690624830952795,1.8389945537339194,1.5615353049122151,0.9999569705482757,0.6035155554902202
1.0,0.26060497974828556,0.00043484970228482265,1.8389945815957074,1.5615353768008446,0.9999999999999998,0.6035155698463183
