kx,vartheta,gap,joint,deltaA,deltaB,edge_weight_2row,nloc_theta
0.07,1.1330334160487778,0.4573014834493657,0.010101521525496676,1.783302248254844,1.82395527294097,0.9519811937888334,0.06231100171277799
0.07,1.236036453871394,0.46005175976337076,0.010370557354087486,1.7821548849901703,1.8221953809150797,0.9518857342333513,0.06294186875678659
0.07,1.33903949169401,0.46240111885033547,0.010572911898422837,1.7813063168050556,1.820848869902404,0.9518119678176749,0.06339379087956151
0.07,1.4420425295166264,0.46429829397697464,0.010703883163672392,1.7807632259425772,1.8199670887820787,0.9517633539332819,0.06365027093330923
0.07,1.5450455673392425,0.4657097784533236,0.010760533259430766,1.780529746530783,1.8195832114148731,0.9517421194302642,0.06370203318544343
0.07,1.6480486051618586,0.46506612601830527,0.010741615376989673,1.7806076211160464,1.8197115697412687,0.9517492243176864,0.06354721313518369
0.07,1.7510516429844747,0.4634087516623288,0.0106475443180103,1.780996270828542,1.8203473789220337,0.9517843482281054,0.0631913949568936
0.07,1.8540546808070908,0.46128016008942574,0.010480406198574578,1.7816927717885322,1.8214668282117503,0.9518458948503585,0.0626474986473915
0.07,1.9570577186297071,0.4587228773718526,0.010244008775040808,1.7826917402166962,1.8230275464412626,0.9519310152720077,0.061935510699490715
0.07,2.060060756452323,0.455796477483814,0.009943979798454917,1.783985138569665,1.824969484893941,0.9520356547967177,0.06108204450614148
0.07,2.1630637942749393,0.45257527188994146,0.009587927255768063,1.785562024833885,1.8272162878294382,0.9521546308500688,0.06011971051576962
0.07,2.2660668320975557,0.44914501810604757,0.009185681693736849,1.7874082765850672,1.8296772366160474,0.9522817515677231,0.05908627214030351
0.07,2.3690698699201715,0.4455990122601695,0.008749643974139883,1.7895063298732903,1.8322498520573132,0.9524099850572219,0.05802356236350587
0.07,2.472072907742788,0.4420339667997262,0.008295253218797783,1.7918349792834376,1.8348232163091964,0.9525316876519463,0.056976139127976604
0.07,2.575075945565404,0.4385460081225902,0.007841550092783743,1.794369288118878,1.8372820277455058,0.9526388953831535,0.05598966703114692
0.07,2.67807898338802,0.4352270138553709,0.007411704382806806,1.7970806549018579,1.8395113294128942,0.9527236763278661,0.05510903201028041
0.07,2.7810820212106364,0.4321614007208937,0.0070331583316416485,1.7999370729265893,1.8414017592776668,0.9527785328573787,0.054376228536061416
0.07,2.8840850590332527,0.4294234013501588,0.006736714146672157,1.8029036029745353,1.8428550690785117,0.9527968331144456,0.05382810757122513
0.07,2.9870880968558686,0.42707483500245064,0.006553684987047603,1.8059430564664445,1.8437895646015967,0.9527732418727776,0.05349413432523111
0.07,3.090091134678485,0.425163370793958,0.006510713302625637,1.8090168599541085,1.8441450533451618,0.9527041142464538,0.05339436364897314
0.07,3.193094172501101,0.4237212875847383,0.006564268070626821,1.8087571907335747,1.843886864892135,0.9525878134444503,0.05353787413599299
0.07,3.296097210323717,0.4227647409289957,0.0067095419883645875,1.805140866006667,1.843008547881425,0.9524249172347672,0.05392188523224576
0.07,3.3991002481463335,0.4222935490240817,0.006984878376371598,1.8015332476158519,1.841532947340191,0.9522182872033346,0.05453170477347477
0.07,3.5021032859689494,0.42229150590029035,0.007361748335877456,1.797980739164848,1.8395115159376783,0.951972989091057,0.0553415326490792
0.07,3.6051063237915657,0.4227272237548248,0.007809350925789384,1.7945298986736211,1.837021888965088,0.9516960690576455,0.05631601682863026
0.07,3.7081093616141816,0.4235555008493512,0.008298665942599731,1.7912262499749447,1.8341639252357194,0.9513962065780807,0.05741236119595453
0.07,3.811112399436798,0.4247192088845732,0.008804250934923022,1.7881131809482893,1.8310545551944308,0.9510832769042642,0.0585827438179908
0.07,3.9141154372594142,0.42615169265663255,0.009304548070748217,1.7852310023795506,1.827821862180096,0.950767862625959,0.05977681764825075
