model,eta_numeric,D_loc,ep_mean,ep_stderr,gap_min,joint_max,overlap_min,eta_axis2
BBH,-1.6666666666666667,0.09735952857679991,0.0021598074227922198,9.274943129888439e-05,0.023172203072570285,0.02158896116300277,0.8938189604594365,False
BBH,-1.6,0.08900144070109767,0.0018321358656832143,7.877173588675249e-05,0.024409783776357385,0.022000137402003024,0.9116926047336535,False
BBH,-1.5333333333333332,0.0973117706254033,0.00211309495499992,8.745805350335997e-05,0.023705247441358268,0.022244559913895054,0.9076249322427157,False
BBH,-1.4666666666666668,0.09129851870615568,0.0018702016627207244,7.811602687567868e-05,0.02710785015619166,0.022307352722235475,0.9234481783396957,False
BBH,-1.4,0.09149298977753802,0.0018317632250139538,8.590583278947226e-05,0.0255770008420515,0.022185034024187568,0.921231389719702,False
BBH,-1.3333333333333335,0.10407414762172118,0.0023049038644248703,0.00011621690925918155,0.024384167185526273,0.02188414550374142,0.9200257046217704,False
BBH,-1.2666666666666666,0.12072422739294518,0.003071430749266445,0.0001564556793257179,0.023519010204150148,0.021415967754176077,0.920089708968359,False
BBH,-1.2,0.13231358830068823,0.0037112972439295442,0.00018864756041421827,0.022968394245810875,0.020790996762000042,0.9215546472883906,False
BBH,-1.1333333333333333,0.14005068222818834,0.004212296028589596,0.0002086695476432262,0.022715943260232407,0.02181406503634767,0.9244094063876749,False
BBH,-1.0666666666666667,0.14746565998076375,0.004711185730080505,0.00022287731864062077,0.022741357311014898,0.021782333382036695,0.9285064952896748,False
BBH,-1.0,0.15356932592531675,0.00509028337021417,0.00023242692694440834,0.023019777278069253,0.018494021619720597,0.9276092470795142,False
BBH,-0.9333333333333333,0.16167645618692325,0.005540512386197316,0.0002509387062641699,0.023058244981624898,0.0182381101914386,0.9180184900086694,False
BBH,-0.8666666666666667,0.1692435733029183,0.00596150438648014,0.0002694622810435534,0.024197939129848578,0.019420937259885824,0.921825116695566,False
BBH,-0.8,0.14289325249643342,0.0042183537607742285,0.00019357545799564968,0.023379664562416913,0.02229401355150181,0.9214787665343609,False
BBH,-0.7333333333333334,0.1038021219429529,0.0022501807818119945,0.000104463154079319,0.022927995516954347,0.018378850473747276,0.9231127546410735,False
BBH,-0.6666666666666667,0.13538040680042032,0.0038505284017675816,0.00017052643481540436,0.023172203072570063,0.020001064484433635,0.9266608194342234,False
BBH,-0.6000000000000001,0.13953068003341274,0.004052678597938498,0.00017950942522158261,0.02364060422349057,0.021706197532368618,0.9317279482956936,False
BBH,-0.5333333333333334,0.1130789876542801,0.0026415121022748097,0.00011619598640097054,0.02307739409482945,0.02230735272223577,0.9340443755177109,False
BBH,-0.4666666666666668,0.08685160533248028,0.001616861723616652,7.293285586839048e-05,0.023172203072571063,0.02224455991389504,0.9306861279638184,False
BBH,-0.3999999999999999,0.0631891254225048,0.0009125778236817542,4.7671286830859484e-05,0.022695358160179535,0.02022519605081187,0.9337020105512442,False
BBH,-0.33333333333333326,0.05110663190768336,0.0006001448401143101,2.6428082013380738e-05,0.02317220307256951,0.022077639754803403,0.937406592145528,False
